zoneID,niche,importance_spearman,importance_pearson,top5_overlap_n,top5_union_n,top5_jaccard,selected_overlap_n,selected_union_n,selected_jaccard,zone_name,detailed_category,category2,zone_color,reference_area_km2,reference_pixels,category_label,global_area_rank_largest,global_area_rank_smallest,category_area_rank_largest,category_area_rank_smallest
15,soil,0.933333333333333,0.996918943657215,5,5,1,9,9,1,Grass and forb halophytic meadows,halophytic_meadow,grassland_meadow_steppe,#FF70A6,155782.486712609,242556,grassland meadow steppe,19,35,5,4
16,soil,0.916666666666667,0.997543633819973,5,5,1,9,9,1,Kobresia spp. and forb high-cold meadows,high_cold_meadow,grassland_meadow_steppe,#90BE6D,653919.837866197,917167,grassland meadow steppe,1,53,1,8
31,soil,0.966666666666667,0.994438316620047,5,5,1,9,9,1,Grass and Carex spp. high-cold steppes,high_cold_steppe,grassland_meadow_steppe,#48CAE4,602782.267595032,848105,grassland meadow steppe,2,52,2,7
40,soil,1,0.997915975741099,5,5,1,9,9,1,Subtropical and tropical grasslands,subtropical_tropical_grassland,grassland_meadow_steppe,#AACC00,262130.658259238,341246,grassland meadow steppe,14,40,4,5
41,soil,0.983333333333333,0.99741744623484,4,6,0.666666666666667,9,9,1,Temperate grasslands,temperate_grassland,grassland_meadow_steppe,#70E000,62655.3585233834,91481,grassland meadow steppe,30,24,8,1
19,soil,0.983333333333333,0.988280100409484,5,5,1,9,9,1,No vegetation,no_vegetation,no_vegetation,#E0E0E0,535460.455323413,800196,no vegetation,5,49,1,1
7,soil,0.966666666666667,0.996971517773356,5,5,1,9,9,1,Deciduous scrubs in temperate zone,temperate_scrub,scrub,#C77DFF,145723.607727903,221602,scrub,20,34,2,5
18,soil,0.983333333333333,0.991521672883469,5,5,1,9,9,1,Subalpine broadleaf deciduous scrubs,subalpine_scrub,scrub,#9D4EDD,80420.5115528885,113046,scrub,29,25,4,3
44,soil,0.966666666666667,0.995909026553367,5,5,1,9,9,1,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones,subtropical_tropical_scrub,scrub,#F72585,441250.860529288,576554,scrub,7,47,1,6
45,soil,0.983333333333333,0.993594794133413,5,5,1,9,9,1,Subalpine needleleaf evergreen scrubs,subalpine_needleleaf_scrub,scrub,#7209B7,12167.9589990281,16418,scrub,45,9,5,2
46,soil,0.983333333333333,0.982666795373402,5,5,1,9,9,1,Subalpine sclerophyllous broadleaf evergreen scrubs,subalpine_sclerophyll_scrub,scrub,#B5179E,101463.317627609,136995,scrub,27,27,3,4
50,soil,0.933333333333333,0.983572942866331,5,5,1,9,9,1,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones,xeromorphic_succulent_thorny_scrub,scrub,#FF006E,1954.02259297092,2515,scrub,51,3,6,1
4,soil,1,0.998782967802665,5,5,1,9,9,1,"Grass, Carex and forb swamp meadows",swamp_meadow,wetland,#00B4D8,53482.0093491042,92312,wetland,33,21,2,4
6,soil,1,0.995772259403925,5,5,1,9,9,1,Cold-temperate and temperate marshes,marsh,wetland,#0077B6,53583.994126283,92003,wetland,32,22,1,5
43,soil,1,0.999140669573109,5,5,1,9,9,1,High-cold marshes,high_cold_marsh,wetland,#4CC9F0,4041.58735428002,5708,wetland,49,5,4,2
48,soil,1,0.996937324466408,5,5,1,9,9,1,Subtropical and tropical marshes,subtropical_tropical_marsh,wetland,#00BFA6,1797.64026241183,2400,wetland,52,2,5,1
54,soil,1,0.998667272408076,5,5,1,9,9,1,Tropical mangroves,mangrove,wetland,#006D5B,9405.78073086598,11883,wetland,47,7,3,3
