method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,recall,specificity,precision,f1,tss
optimized_rf,7,220966,272604,91358,11991614,181246,129608,0.974918640942676,0.413448222803508,0.985110647785319,0.335130812460566,0.370192677836984,0.398558870588827
optimized_rf,9,30500,43063,24111,12344374,18952,6389,0.997955352931371,0.790524590163934,0.998467079166237,0.559900610733112,0.655519758574283,0.788991669330172
optimized_rf,10,146264,168394,96737,12175905,71657,49527,0.990222228390168,0.661386260460537,0.994149284567819,0.574468211456465,0.614870748558753,0.655535545028356
optimized_rf,11,147057,190092,84226,12140903,105866,62831,0.986388626078823,0.572743902024385,0.991355597545769,0.443080192748774,0.499636659162566,0.564099499570154
optimized_rf,12,374213,342905,226057,11902765,116848,148156,0.978618063542283,0.604086442747847,0.990278555557488,0.659240897624707,0.63045970119283,0.594364998305335
optimized_rf,13,618971,613697,397260,11558418,216437,221711,0.964647881937345,0.641807128282262,0.981618712077558,0.647322701593783,0.644553115680784,0.623425840359821
optimized_rf,14,32665,80340,24352,12305173,55988,8313,0.994811852288389,0.745507423848156,0.99547065198811,0.303111774956435,0.430989779213309,0.740978075836266
optimized_rf,15,235591,196979,110630,12071886,86349,124961,0.982950381907895,0.469585001124831,0.992897900065264,0.561633473619015,0.511501028735234,0.462482901190095
optimized_rf,16,911178,785286,587150,11284512,198136,324028,0.957869022850571,0.644385619494764,0.982744746682124,0.747689376863971,0.692204491224099,0.627130366176888
optimized_rf,17,1641,8722,1481,12384944,7241,160,0.999402847837302,0.902498476538696,0.999415680124207,0.169800504471452,0.285824568175239,0.901914156662903
optimized_rf,18,112964,137813,52247,12195296,85566,60717,0.988197107172555,0.462510180234411,0.993032573772102,0.379115177813414,0.416680955590026,0.455542754006513
optimized_rf,19,691356,589258,520503,11633715,68755,170853,0.980667148304325,0.752872615555517,0.994124744605199,0.883319360959037,0.812896001449305,0.746997360160716
optimized_rf,20,379965,441523,234953,11807291,206570,145012,0.971632488627806,0.618354322108615,0.982805694189403,0.532142153409902,0.572018093995287,0.601160016298019
optimized_rf,21,599210,513370,373558,11654804,139812,225652,0.970512414810406,0.623417499707949,0.988146116838395,0.727658414009389,0.671516654982114,0.611563616546344
optimized_rf,22,41980,78827,24302,12297321,54525,17678,0.994174276772968,0.578894711767508,0.995585680067579,0.308295381024268,0.402327679687435,0.574480391835087
optimized_rf,23,326806,399845,193462,11860637,206383,133344,0.972589013271608,0.591978115456877,0.982896937272003,0.483842488964474,0.532475700164178,0.574875052728879
optimized_rf,24,845397,755816,552957,11345570,202859,292440,0.960036634369403,0.654079680907313,0.982434060944566,0.731602665198937,0.690672633809493,0.63651374185188
optimized_rf,25,237357,308580,143274,11991163,165306,94083,0.979071111697066,0.603622391587356,0.986401807959203,0.464300991639121,0.52487374916886,0.590024199546559
optimized_rf,26,40896,44374,17038,12325594,27336,23858,0.995869394971335,0.416617762128326,0.997787083712123,0.383963582277911,0.399624721472968,0.414404845840449
optimized_rf,27,859115,731196,625524,11429039,105672,233591,0.972626451266945,0.728102756906817,0.990838782176684,0.855480609850163,0.786668771076852,0.718941539083501
optimized_rf,28,46042,87700,18282,12278366,69418,27760,0.992159160536867,0.397072238391034,0.994378100556343,0.208460661345496,0.273392053356462,0.391450338947377
optimized_rf,29,164338,175468,115861,12169881,59607,48477,0.99127920627577,0.705016490403924,0.99512596111955,0.660297034217065,0.68192439215317,0.700142451523473
optimized_rf,30,576557,607635,315456,11525090,292179,261101,0.955358417973594,0.547137577030545,0.975275251836952,0.519153768298403,0.532778468356483,0.522412828867497
optimized_rf,31,841378,757698,599393,11394143,158305,241985,0.9677024673414,0.712394429138865,0.986296843751212,0.791071112765244,0.749674186842902,0.698691272890077
optimized_rf,32,60484,66605,28857,12295594,37748,31627,0.994402454899722,0.477101382183718,0.996939353502076,0.433255761579461,0.45412270141397,0.474040735685794
optimized_rf,33,389751,360649,233919,11877345,126730,155832,0.977201390434237,0.600175496663254,0.989442751732224,0.648605708043,0.623451492537313,0.589618248395479
optimized_rf,34,5159,12593,3152,12379226,9441,2007,0.999076314287452,0.610971118433805,0.999237932539473,0.250297784483443,0.355114916629112,0.610209050973278
optimized_rf,35,32864,54891,25231,12331302,29660,7633,0.996991001810095,0.767739776046738,0.997600510380988,0.459656409976135,0.575032761666002,0.765340286427726
optimized_rf,36,22575,123481,12429,12260199,111052,10146,0.990221098795481,0.550564784053156,0.991023381548075,0.100655161522825,0.170194993701046,0.541588165601231
optimized_rf,37,191906,187153,136602,12151369,50551,55304,0.991459053886992,0.711817243858973,0.9958571274029,0.729894791961657,0.720742681218491,0.707674371261873
optimized_rf,38,30032,46701,25729,12342822,20972,4303,0.997960678163466,0.856719499200852,0.998303756921217,0.550930386929616,0.670611079978627,0.855023256122069
optimized_rf,39,21943,56522,13799,12329160,42723,8144,0.995895779075808,0.628856582964955,0.996546766567385,0.244135027069106,0.351723698464284,0.62540334953234
optimized_rf,40,339661,303990,129249,11879424,174741,210412,0.968923801253947,0.380523521982212,0.985503682751978,0.425175170235863,0.401612053737196,0.36602720473419
optimized_rf,41,91243,141469,50595,12211709,90874,40648,0.989388103399225,0.554508291046984,0.992613421100268,0.357640189723544,0.434829316923923,0.547121712147253
optimized_rf,42,155019,236467,124236,12126576,112231,30783,0.988460867531947,0.801424341532328,0.990829906869191,0.525384091649152,0.634689363093444,0.792254248401519
optimized_rf,43,5692,17146,4605,12375593,12541,1087,0.998900420257635,0.809030217849614,0.998987660288466,0.268575761110463,0.403275243016026,0.80801787813808
optimized_rf,44,566191,340428,188759,11675966,151669,377432,0.957309308683211,0.333383964068662,0.987176726370065,0.554475542552317,0.416402038783657,0.320560690438727
optimized_rf,45,16405,35667,8657,12350411,27010,7748,0.997195539133759,0.527704967997562,0.997817800654918,0.242717357781703,0.33250115225073,0.52552276865248
optimized_rf,46,136482,163810,82116,12175650,81694,54366,0.989021953349999,0.601661757594408,0.993335097717744,0.501288077650937,0.546907676528179,0.594996855312152
optimized_rf,47,354447,379020,211668,11872027,167352,142779,0.974976976439721,0.59717813946796,0.986099615270854,0.558461294918474,0.577171161074731,0.583277754738814
optimized_rf,48,1624,4262,1240,12389180,3022,384,0.999725185749744,0.763546798029557,0.999756136964197,0.290943219145941,0.421338769962623,0.763302934993754
optimized_rf,49,157753,211825,84523,12108771,127302,73230,0.983820008446141,0.535793297116378,0.989596171909076,0.399022778236752,0.457402767480748,0.525389469025454
optimized_rf,50,2292,11313,1774,12381995,9539,518,0.99918854758813,0.773996509598604,0.999230200231868,0.15681074869619,0.260786475560456,0.773226709830472
optimized_rf,52,23635,30304,19676,12359563,10628,3959,0.998823043021582,0.832494182356675,0.99914083784155,0.64928722280887,0.729564878844621,0.831635020198224
optimized_rf,53,64489,118624,54632,12265345,63992,9857,0.994041468711922,0.847152227511669,0.994809777687154,0.460547612624764,0.596702582558311,0.841962005198822
optimized_rf,54,11548,15041,10459,12377696,4582,1089,0.99954243346647,0.905697956356079,0.999629955005048,0.69536599960109,0.786716311256535,0.905327911361127
optimized_rf,55,6383,15627,5552,12377368,10075,831,0.999120045738903,0.86981043396522,0.999186676378652,0.355282523836949,0.504497955474784,0.868997110343872
plain_mf,1,15263,43469,11606,12346700,31863,3657,0.997134056908658,0.760400969665203,0.997425953238676,0.26699486990729,0.395218960702854,0.757826922903879
plain_mf,2,284043,258121,181881,12033543,76240,102162,0.985605574904795,0.640329105100284,0.993704263734536,0.704634648091399,0.670944585033311,0.63403336883482
plain_mf,3,552373,458953,289076,11671576,169877,263297,0.965049210792535,0.523334775595476,0.985654040935686,0.629859702409615,0.571677184211619,0.508988816531162
plain_mf,4,91405,105164,42524,12239781,62640,48881,0.991001890780135,0.4652261911274,0.994908319264964,0.404358906089536,0.432662322136247,0.460134510392364
plain_mf,5,190463,174298,72899,12101964,101399,117564,0.982332897040833,0.382746255178171,0.991690897009292,0.418243468083397,0.39970830214853,0.374437152187463
