method,model_family,model_version,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
plain_rf,single RF,original,43,5692,24648,4888,12368374,19760,804,0.998340786775609,0.928577023401697,0.858749121574139,0.998404925229256,0.19831223628692,0.322214897824654,0.857154046803395
plain_rf,single RF,original,44,566191,363001,194740,11659374,168261,371451,0.956453156595873,0.664860723569143,0.343947537138527,0.985773909999759,0.536472351315837,0.41915987223308,0.329721447138287
plain_rf,single RF,original,45,16405,64054,11730,12325097,52324,4675,0.995401016602944,0.85539926587191,0.715025906735751,0.995772625008069,0.183126736815812,0.291577076523447,0.710798531743821
plain_rf,single RF,original,46,136482,176215,65064,12146193,111151,71418,0.985269359114772,0.733827045266386,0.476722205125951,0.990931885406822,0.369230769230769,0.416147260766813,0.467654090532773
plain_rf,single RF,original,47,354447,348659,198321,11889041,150338,156126,0.975272849562355,0.773517554599725,0.559522298115092,0.987512811084359,0.568810786470448,0.564128310667239,0.547035109199451
plain_rf,single RF,original,48,1624,9275,1448,12384375,7827,176,0.999354275265765,0.94549700444345,0.891625615763547,0.999368393123353,0.156118598382749,0.265712450683549,0.8909940088869
plain_rf,single RF,original,49,157753,196611,70544,12110006,126067,87209,0.98279175453972,0.718438594153599,0.447180085323259,0.989697102983939,0.358799863690231,0.398144281021774,0.436877188307198
plain_rf,single RF,original,50,2292,16764,1980,12376750,14784,312,0.99878197418618,0.931340636462254,0.863874345549738,0.99880692737477,0.118110236220472,0.207808564231738,0.862681272924509
plain_rf,single RF,original,52,23635,47198,20319,12343312,26879,3316,0.997563706316355,0.928763356626746,0.859699598053734,0.997827115199757,0.430505529895335,0.573715641014781,0.857526713253491
plain_rf,single RF,original,53,64489,97104,50214,12282447,46890,14275,0.995064881498256,0.88742064788584,0.778644419978601,0.996196875793078,0.517115669797331,0.621487316901103,0.774841295771679
plain_rf,single RF,original,54,11548,23970,10743,12369051,13227,805,0.998867823382384,0.964611369615819,0.930290959473502,0.998931779758135,0.448185231539424,0.604932710175123,0.929222739231637
plain_rf,single RF,original,55,6383,21836,5479,12371086,16357,904,0.998607290436383,0.928526677674375,0.858373805420649,0.998679549928101,0.250915918666422,0.388319926290797,0.857053355348749
rf_var,single RF,corrected,1,15263,44440,11679,12345802,32761,3584,0.997067491507465,0.88126859311618,0.765183777763218,0.997353408469141,0.262803780378038,0.391236621275313,0.76253718623236
rf_var,single RF,corrected,2,284043,260926,183218,12032075,77708,100825,0.985595005125939,0.819309589163151,0.645036138894463,0.993583039431838,0.702183760913056,0.672397879512413,0.638619178326301
rf_var,single RF,corrected,3,552373,456686,287751,11672518,168935,264622,0.965018308309315,0.753334813074672,0.520936034165319,0.985733591984024,0.630085003700573,0.57033533222537,0.506669626149344
rf_var,single RF,corrected,4,91405,103116,42065,12241370,61051,49340,0.991093065208435,0.727621032414184,0.460204583994311,0.995037480834057,0.407938632220024,0.432498290672987,0.455242064828368
rf_var,single RF,corrected,5,190463,174931,73803,12102235,101128,116660,0.982427702309198,0.689602843931997,0.387492583861432,0.991713104002561,0.421897776837725,0.403963940294586,0.379205687863993
