original_zone,predicted_zone,n,method,method_label
2,9,9160,mf_var,Plain MF RF
2,10,881,mf_var,Plain MF RF
2,11,4896,mf_var,Plain MF RF
2,12,2124,mf_var,Plain MF RF
2,13,4003,mf_var,Plain MF RF
2,14,310,mf_var,Plain MF RF
2,15,18,mf_var,Plain MF RF
2,16,4692,mf_var,Plain MF RF
2,17,470,mf_var,Plain MF RF
2,18,4987,mf_var,Plain MF RF
2,19,14,mf_var,Plain MF RF
2,20,340,mf_var,Plain MF RF
2,21,15,mf_var,Plain MF RF
2,22,200,mf_var,Plain MF RF
2,23,14,mf_var,Plain MF RF
2,24,113,mf_var,Plain MF RF
2,25,842,mf_var,Plain MF RF
2,26,32,mf_var,Plain MF RF
2,27,1748,mf_var,Plain MF RF
2,28,198,mf_var,Plain MF RF
2,29,8,mf_var,Plain MF RF
2,30,143,mf_var,Plain MF RF
2,31,331,mf_var,Plain MF RF
2,32,96,mf_var,Plain MF RF
2,33,102,mf_var,Plain MF RF
2,34,161,mf_var,Plain MF RF
2,35,16,mf_var,Plain MF RF
2,36,82,mf_var,Plain MF RF
2,37,53,mf_var,Plain MF RF
2,38,10,mf_var,Plain MF RF
2,39,45,mf_var,Plain MF RF
2,40,30,mf_var,Plain MF RF
2,41,182,mf_var,Plain MF RF
2,42,72,mf_var,Plain MF RF
2,43,1,mf_var,Plain MF RF
2,44,222,mf_var,Plain MF RF
2,45,45,mf_var,Plain MF RF
2,46,69,mf_var,Plain MF RF
2,47,7,mf_var,Plain MF RF
2,48,13,mf_var,Plain MF RF
2,49,10,mf_var,Plain MF RF
2,50,104,mf_var,Plain MF RF
2,52,25,mf_var,Plain MF RF
2,53,601,mf_var,Plain MF RF
2,54,10,mf_var,Plain MF RF
2,55,272,mf_var,Plain MF RF
3,1,4922,mf_var,Plain MF RF
3,2,20634,mf_var,Plain MF RF
3,3,287525,mf_var,Plain MF RF
3,4,5681,mf_var,Plain MF RF
3,5,22624,mf_var,Plain MF RF
3,6,18973,mf_var,Plain MF RF
3,7,41796,mf_var,Plain MF RF
3,9,28691,mf_var,Plain MF RF
3,10,3175,mf_var,Plain MF RF
3,11,7205,mf_var,Plain MF RF
3,12,19323,mf_var,Plain MF RF
3,13,3825,mf_var,Plain MF RF
3,14,1304,mf_var,Plain MF RF
3,15,2094,mf_var,Plain MF RF
3,16,39,mf_var,Plain MF RF
3,17,17,mf_var,Plain MF RF
3,18,1551,mf_var,Plain MF RF
3,19,40,mf_var,Plain MF RF
3,20,11,mf_var,Plain MF RF
3,21,299,mf_var,Plain MF RF
3,22,565,mf_var,Plain MF RF
3,23,164,mf_var,Plain MF RF
3,24,1537,mf_var,Plain MF RF
3,25,298,mf_var,Plain MF RF
3,26,349,mf_var,Plain MF RF
3,27,19993,mf_var,Plain MF RF
3,28,7590,mf_var,Plain MF RF
3,29,18,mf_var,Plain MF RF
3,30,577,mf_var,Plain MF RF
3,31,18,mf_var,Plain MF RF
3,32,269,mf_var,Plain MF RF
3,33,11661,mf_var,Plain MF RF
3,34,554,mf_var,Plain MF RF
3,35,11,mf_var,Plain MF RF
3,36,3982,mf_var,Plain MF RF
3,37,11398,mf_var,Plain MF RF
3,38,9,mf_var,Plain MF RF
3,39,1034,mf_var,Plain MF RF
3,40,271,mf_var,Plain MF RF
3,41,18403,mf_var,Plain MF RF
3,42,4,mf_var,Plain MF RF
3,43,12,mf_var,Plain MF RF
3,44,918,mf_var,Plain MF RF
3,45,88,mf_var,Plain MF RF
3,46,626,mf_var,Plain MF RF
3,47,2069,mf_var,Plain MF RF
3,48,11,mf_var,Plain MF RF
3,49,126,mf_var,Plain MF RF
3,50,28,mf_var,Plain MF RF
3,52,14,mf_var,Plain MF RF
3,53,9,mf_var,Plain MF RF
3,54,19,mf_var,Plain MF RF
3,55,19,mf_var,Plain MF RF
4,1,1127,mf_var,Plain MF RF
4,2,14646,mf_var,Plain MF RF
4,3,3667,mf_var,Plain MF RF
4,4,41596,mf_var,Plain MF RF
4,5,3185,mf_var,Plain MF RF
4,6,1985,mf_var,Plain MF RF
4,7,882,mf_var,Plain MF RF
4,9,268,mf_var,Plain MF RF
4,10,9,mf_var,Plain MF RF
4,11,6101,mf_var,Plain MF RF
4,12,3540,mf_var,Plain MF RF
4,13,6619,mf_var,Plain MF RF
4,14,1931,mf_var,Plain MF RF
4,15,1388,mf_var,Plain MF RF
4,16,701,mf_var,Plain MF RF
4,17,331,mf_var,Plain MF RF
4,18,104,mf_var,Plain MF RF
4,19,25,mf_var,Plain MF RF
4,20,221,mf_var,Plain MF RF
4,21,185,mf_var,Plain MF RF
4,22,276,mf_var,Plain MF RF
4,23,118,mf_var,Plain MF RF
