source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
14,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,33829,20704.0309925605,0.00272949538102155,0.00243544515090167
14,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,64052,39237.5195804493,0.00516804038384795,0.00461556625518731
14,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,65221,39959.7013906532,0.00526236123579196,0.00470051754744351
15,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,430091,281441.967651707,0.0347019243228868,0.0331064262618169
15,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,896985,583721.877635215,0.0723733014379855,0.0686640498593113
15,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,905910,589112.752029638,0.0730934157267797,0.0692981862218262
16,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,246944,178151.906893763,0.0199246950063846,0.0209562668218669
16,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,963560,692724.534746438,0.0777449102644808,0.08148619028174
16,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,1145087,823774.76388459,0.092391429760496,0.0969018185327675
17,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,24,16.3537565787797,1.93644178499267e-06,1.92371607119052e-06
17,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,85,57.5263120183067,6.85823132184905e-06,6.76690339695608e-06
17,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,185,126.964503360923,1.49267387593185e-05,1.49350184105746e-05
18,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,616665,436257.122968034,0.0497556613892711,0.0513175571974651
18,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,1488823,1061970.19583202,0.120125794485756,0.124921092166571
18,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,1738062,1242557.39347482,0.140235661737831,0.146163825766232
19,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,756875,493086.274575592,0.0610685156673471,0.0580024526056207
19,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,1158753,760640.690007707,0.0934940719869006,0.0894752659867744
19,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,1162399,762992.371479696,0.0937882497680707,0.089751897684219
