method,zone,original_pixels,predicted_pixels,predicted_to_original,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
optimized_mf,27,859115,702552,0.817762464862097,604141,11436300,98411,254974,0.971487012969199,0.847340731887668,0.703213190317944,0.991468273457393,0.859923535909086,0.773712961854224,0.694681463775337
optimized_mf,28,46042,110511,2.40022153685765,19518,12256791,90993,26524,0.990518101512802,0.708274058190276,0.423917292906477,0.992630823474074,0.176615902489345,0.249346866556374,0.416548116380551
optimized_mf,29,164338,210151,1.27877301658776,124767,12144104,85384,39571,0.989917963992717,0.87611393223839,0.759209677615646,0.993018186861134,0.593701671655143,0.666331988389512,0.75222786447678
optimized_mf,30,576557,486822,0.844360574930146,240850,11571297,245972,335707,0.953067035151212,0.698461889600055,0.41773840227419,0.979185376925921,0.494739350316954,0.452989949961397,0.396923779200111
optimized_mf,31,841378,679553,0.807666708661268,539426,11412321,140127,301952,0.96433070788633,0.814496213551636,0.641122064042559,0.987870363060712,0.793795333108676,0.709336583973895,0.628992427103271
optimized_mf,32,60484,100631,1.66376231730706,34042,12266753,66589,26442,0.992493762620195,0.778713714161294,0.56282653263673,0.994600895685857,0.338285419006072,0.422580144617199,0.557427428322587
optimized_mf,33,389751,372077,0.954653099029894,232090,11864088,139987,157661,0.975984171473764,0.791910566849623,0.595482756939687,0.988338376759559,0.623768736041196,0.609297636736901,0.583821133699246
optimized_mf,34,5159,18761,3.63655747237837,3328,12373234,15433,1831,0.998607048380379,0.82192026085528,0.645086257026556,0.998754264684005,0.177389264964554,0.278260869565217,0.643840521710561
optimized_mf,35,32864,93320,2.83958130477118,27098,12294740,66222,5766,0.994191624119945,0.909596154591504,0.824549659201558,0.99464264998145,0.290377196742392,0.42949977810182,0.819192309183008
optimized_mf,36,22575,162273,7.18817275747508,14178,12223156,148095,8397,0.987373390589798,0.808034483902232,0.628039867109635,0.988029100694829,0.0873712817289383,0.153401713840561,0.616068967804463
optimized_mf,37,191906,194681,1.01446020447511,136525,12143764,58156,55381,0.990839229145221,0.853324935293602,0.711416005752817,0.995233864834387,0.701275419789296,0.706309317178281,0.706649870587203
optimized_mf,38,30032,65456,2.17954182205647,27325,12325663,38131,2707,0.996704972298304,0.95338936366078,0.909862812999467,0.996915914322092,0.417456000977756,0.57232322386059,0.90677872732156
optimized_mf,39,21943,83939,3.82532014765529,13164,12301108,70775,8779,0.993581158877009,0.7970986682294,0.599917969284054,0.994279367174746,0.1568281728398,0.248654162180541,0.5941973364588
