method,original_zone,assigned_zone,pixels,original_pixels,percent_of_original
multiclass_rf,2,33,226,283513,0.0797141577282171
multiclass_rf,2,32,192,283513,0.0677217623177773
multiclass_rf,2,37,158,283513,0.0557293669073376
multiclass_rf,2,44,156,283513,0.0550239318831941
multiclass_rf,2,31,150,283513,0.0529076268107635
multiclass_rf,2,50,108,283513,0.0380934913037497
multiclass_rf,2,42,106,283513,0.0373880562796062
multiclass_rf,2,46,98,283513,0.0345663161830322
multiclass_rf,2,30,91,283513,0.0320972935985299
multiclass_rf,2,36,75,283513,0.0264538134053818
multiclass_rf,2,24,50,283513,0.0176358756035878
multiclass_rf,2,39,50,283513,0.0176358756035878
multiclass_rf,2,26,47,283513,0.0165777230673726
multiclass_rf,2,15,44,283513,0.0155195705311573
multiclass_rf,2,35,17,283513,0.00599619770521987
multiclass_rf,2,21,14,283513,0.0049380451690046
multiclass_rf,2,40,14,283513,0.0049380451690046
multiclass_rf,2,47,13,283513,0.00458532765693284
