ori,pred,n,method,ori_category,pred_category
13,10,11,multiclass_rf,grassland_meadow_steppe,forest
13,11,37536,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
13,12,35395,multiclass_rf,grassland_meadow_steppe,cropland
13,13,329246,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
13,14,24604,multiclass_rf,grassland_meadow_steppe,forest
13,15,11989,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
13,16,3840,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
13,17,141,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
13,18,10488,multiclass_rf,grassland_meadow_steppe,scrub
13,19,10,multiclass_rf,grassland_meadow_steppe,no_vegetation
13,20,1441,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
13,22,3551,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
13,23,272,multiclass_rf,grassland_meadow_steppe,desert
13,24,6023,multiclass_rf,grassland_meadow_steppe,desert
13,25,50808,multiclass_rf,grassland_meadow_steppe,desert
13,27,1021,multiclass_rf,grassland_meadow_steppe,cropland
13,28,247,multiclass_rf,grassland_meadow_steppe,forest
13,29,59,multiclass_rf,grassland_meadow_steppe,desert
13,31,2134,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
13,32,6692,multiclass_rf,grassland_meadow_steppe,desert
13,33,33874,multiclass_rf,grassland_meadow_steppe,cropland
13,35,3924,multiclass_rf,grassland_meadow_steppe,desert
13,36,93,multiclass_rf,grassland_meadow_steppe,forest
13,37,682,multiclass_rf,grassland_meadow_steppe,forest
13,38,28,multiclass_rf,grassland_meadow_steppe,desert
13,39,3,multiclass_rf,grassland_meadow_steppe,forest
13,41,1757,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
13,42,1675,multiclass_rf,grassland_meadow_steppe,desert
13,43,116,multiclass_rf,grassland_meadow_steppe,wetland
13,45,310,multiclass_rf,grassland_meadow_steppe,scrub
13,46,15,multiclass_rf,grassland_meadow_steppe,scrub
14,1,7,multiclass_rf,forest,cropland
14,2,14,multiclass_rf,forest,forest
14,4,136,multiclass_rf,forest,wetland
14,5,64,multiclass_rf,forest,grassland_meadow_steppe
14,6,1,multiclass_rf,forest,wetland
14,7,76,multiclass_rf,forest,scrub
14,9,1,multiclass_rf,forest,forest
14,11,368,multiclass_rf,forest,grassland_meadow_steppe
14,12,112,multiclass_rf,forest,cropland
14,13,57,multiclass_rf,forest,grassland_meadow_steppe
14,14,30784,multiclass_rf,forest,forest
14,15,245,multiclass_rf,forest,grassland_meadow_steppe
14,19,104,multiclass_rf,forest,no_vegetation
14,23,248,multiclass_rf,forest,desert
14,24,210,multiclass_rf,forest,desert
14,25,20,multiclass_rf,forest,desert
14,27,45,multiclass_rf,forest,cropland
14,29,2,multiclass_rf,forest,desert
14,32,106,multiclass_rf,forest,desert
14,33,33,multiclass_rf,forest,cropland
14,35,11,multiclass_rf,forest,desert
14,37,7,multiclass_rf,forest,forest
14,38,14,multiclass_rf,forest,desert
15,2,15,multiclass_rf,grassland_meadow_steppe,forest
15,3,132,multiclass_rf,grassland_meadow_steppe,forest
15,4,2882,multiclass_rf,grassland_meadow_steppe,wetland
15,5,1333,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
15,6,1970,multiclass_rf,grassland_meadow_steppe,wetland
15,7,1305,multiclass_rf,grassland_meadow_steppe,scrub
15,9,256,multiclass_rf,grassland_meadow_steppe,forest
15,11,6424,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
15,12,6647,multiclass_rf,grassland_meadow_steppe,cropland
15,13,12190,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
15,14,10503,multiclass_rf,grassland_meadow_steppe,forest
15,15,136801,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
15,18,86,multiclass_rf,grassland_meadow_steppe,scrub
15,19,6315,multiclass_rf,grassland_meadow_steppe,no_vegetation
15,20,7,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
15,21,9,multiclass_rf,grassland_meadow_steppe,cropland
15,22,40,multiclass_rf,grassland_meadow_steppe,alpine_vegetation
15,23,9421,multiclass_rf,grassland_meadow_steppe,desert
15,24,4332,multiclass_rf,grassland_meadow_steppe,desert
15,25,6803,multiclass_rf,grassland_meadow_steppe,desert
15,26,8,multiclass_rf,grassland_meadow_steppe,forest
15,27,4663,multiclass_rf,grassland_meadow_steppe,cropland
15,28,172,multiclass_rf,grassland_meadow_steppe,forest
15,29,4098,multiclass_rf,grassland_meadow_steppe,desert
15,30,3,multiclass_rf,grassland_meadow_steppe,forest
15,31,86,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
15,32,7470,multiclass_rf,grassland_meadow_steppe,desert
15,33,3435,multiclass_rf,grassland_meadow_steppe,cropland
15,34,33,multiclass_rf,grassland_meadow_steppe,forest
15,35,476,multiclass_rf,grassland_meadow_steppe,desert
15,37,120,multiclass_rf,grassland_meadow_steppe,forest
15,38,2650,multiclass_rf,grassland_meadow_steppe,desert
15,41,74,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
15,42,480,multiclass_rf,grassland_meadow_steppe,desert
15,43,113,multiclass_rf,grassland_meadow_steppe,wetland
15,45,37,multiclass_rf,grassland_meadow_steppe,scrub
15,53,9,multiclass_rf,grassland_meadow_steppe,cropland
16,1,3106,multiclass_rf,grassland_meadow_steppe,cropland
16,2,4092,multiclass_rf,grassland_meadow_steppe,forest
16,3,12,multiclass_rf,grassland_meadow_steppe,forest
16,4,3184,multiclass_rf,grassland_meadow_steppe,wetland
16,5,7798,multiclass_rf,grassland_meadow_steppe,grassland_meadow_steppe
16,6,399,multiclass_rf,grassland_meadow_steppe,wetland
16,7,66,multiclass_rf,grassland_meadow_steppe,scrub
16,10,9850,multiclass_rf,grassland_meadow_steppe,forest
