method,method_label,scenario,period,ssp,k,rank_label,change_code,change_class,area_km2,total_area_km2,area_share,pixel_count,total_pixels,pixel_share,comparison,topk_rule,novel_definition,change_label
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,5,Top-5,2,Different current ecotype assigned,1534391.0640331,8501128.01138509,0.180492643091384,2233053,12393866,0.180174047387635,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,5,Top-5,3,Novel ecosystem,909403.968639294,8501128.01138509,0.106974505903379,1398251,12393866,0.112817985929491,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,1,Reference ecotype retained,4455416.62241594,8501128.01139739,0.524097109988533,6430715,12393866,0.518862718057465,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,2,Different current ecotype assigned,3878363.13550726,8501128.01139739,0.456217472588057,5713904,12393866,0.461026769209866,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,1,Top-1,3,Novel ecosystem,167348.253474198,8501128.01139739,0.0196854174234096,249247,12393866,0.0201105127326695,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,3,Top-3,1,Reference ecotype retained,6724779.61144109,8501128.01141241,0.791045565060702,9791185,12393866,0.790002489941395,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,3,Top-3,2,Different current ecotype assigned,1609000.14649712,8501128.01141241,0.189269017515923,2353434,12393866,0.189886997325935,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,3,Top-3,3,Novel ecosystem,167348.253474198,8501128.01141241,0.0196854174233748,249247,12393866,0.0201105127326695,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,5,Top-5,1,Reference ecotype retained,7725665.66316867,8501128.01142409,0.908781240887876,11247119,12393866,0.907474633016042,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,5,Top-5,2,Different current ecotype assigned,608114.094781226,8501128.01142409,0.0715333416887762,897500,12393866,0.0724148542512885,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
mf_var,Plain MF RF,2011-2040SSP245,2011-2040,SSP245,5,Top-5,3,Novel ecosystem,167348.253474198,8501128.01142409,0.0196854174233478,249247,12393866,0.0201105127326695,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,1,Top-1,1,Reference ecotype retained,3433017.10857405,8501128.01139018,0.403830774454207,4952848,12393866,0.399620909246558,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,1,Top-1,2,Different current ecotype assigned,4750012.48328966,8501128.01139018,0.558750847761073,6968874,12393866,0.562284116997876,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,1,Top-1,3,Novel ecosystem,318098.419526464,8501128.01139018,0.0374183777847201,472144,12393866,0.0380949737555659,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,3,Top-3,1,Reference ecotype retained,5950057.84394516,8501128.01139776,0.699913921536966,8658547,12393866,0.69861550867179,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,3,Top-3,2,Different current ecotype assigned,2232971.74792614,8501128.01139776,0.262667700678347,3263175,12393866,0.263289517572644,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,3,Top-3,3,Novel ecosystem,318098.419526464,8501128.01139776,0.0374183777846867,472144,12393866,0.0380949737555659,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,5,Top-5,1,Reference ecotype retained,7255893.72021244,8501128.01142073,0.853521286876825,10557468,12393866,0.851830090788459,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,5,Top-5,2,Different current ecotype assigned,927135.871681823,8501128.01142073,0.10906033533859,1364254,12393866,0.110074935455975,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
mf_var,Plain MF RF,2041-2070SSP245,2041-2070,SSP245,5,Top-5,3,Novel ecosystem,318098.419526464,8501128.01142073,0.0374183777845856,472144,12393866,0.0380949737555659,reference Top-5 versus future Top-5,observed ecotype restored when within first 5 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,1,Top-1,1,Reference ecotype retained,2923725.91732333,8501128.01138663,0.343922114030893,4221299,12393866,0.340595823772824,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,1,Top-1,2,Different current ecotype assigned,5099908.73181365,8501128.01138663,0.599909650223206,7459248,12393866,0.601849979659293,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,1,Top-1,3,Novel ecosystem,477493.36224965,8501128.01138663,0.0561682357459014,713319,12393866,0.0575541965678829,reference Top-1 versus future Top-1,existing assigned maps with 1e-4 tie rule,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,3,Top-3,1,Reference ecotype retained,5409565.47264133,8501128.011403,0.636335021115457,7877120,12393866,0.635566013058395,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Stable ecotype niche
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,3,Top-3,2,Different current ecotype assigned,2614069.17651202,8501128.011403,0.30749674313875,3803427,12393866,0.306879790373722,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Changed ecotype niche
mf_var,Plain MF RF,2071-2100SSP245,2071-2100,SSP245,3,Top-3,3,Novel ecosystem,477493.36224965,8501128.011403,0.0561682357457932,713319,12393866,0.0575541965678829,reference Top-3 versus future Top-3,observed ecotype restored when within first 3 ranks; otherwise period-specific Top-1 retained,Zone 99: all 53 current ecotypes have dual suitability < 0.4,Novel ecosystem
