method,scenario,Species,PopulationID,source_zone,new_area_km2,old_area_km2,relative_error
mf_var,2011-2040SSP585,querVar,querVar-Zone33,33,324716.587180768,324716.587180765,9.67986796306608e-15
mf_var,2011-2040SSP585,querVar,querVar-Zone36,36,55198.8616634668,55198.861663467,2.89989798137409e-15
mf_var,2011-2040SSP585,querVar,querVar-Zone37,37,74487.2798847637,74487.2798847517,1.60977527528548e-13
mf_var,2011-2040SSP585,querVar,querVar-Zone40,40,255330.660812847,255330.660813044,7.70993615034305e-13
mf_var,2011-2040SSP585,querVar,querVar-Zone41,41,83427.2328787086,83427.2328786931,1.85415305698154e-13
mf_var,2011-2040SSP585,querVar,querVar-Zone44,44,233336.373547504,233336.373547657,6.56948047511796e-13
mf_var,2011-2040SSP585,querVar,querVar-Zone47,47,293534.596520154,293534.596520181,9.35971986841004e-14
mf_var,2011-2040SSP585,querVar,querVar-Zone49,49,129709.720068583,129709.7200686,1.30138448035953e-13
mf_var,2011-2040SSP585,querVar,querVar-Zone5,5,126244.18682849,126244.186828487,2.37452084911932e-14
mf_var,2011-2040SSP585,querVar,querVar-Zone7,7,159210.972768288,159210.972768346,3.61944803818131e-13
mf_var,2011-2040SSP585,robiPse,robiPse-Zone12,12,245719.299830637,245719.2998307,2.58325065511218e-13
mf_var,2011-2040SSP585,robiPse,robiPse-Zone27,27,627103.253056806,627103.253056506,4.77836842532739e-13
mf_var,2011-2040SSP585,robiPse,robiPse-Zone3,3,283092.671954753,283092.671954762,3.35149923287712e-14
mf_var,2011-2040SSP585,robiPse,robiPse-Zone33,33,324716.587180768,324716.587180765,9.67986796306608e-15
mf_var,2011-2040SSP585,robiPse,robiPse-Zone37,37,74487.2798847637,74487.2798847517,1.60977527528548e-13
mf_var,2011-2040SSP585,robiPse,robiPse-Zone41,41,83427.2328787086,83427.2328786931,1.85415305698154e-13
mf_var,2011-2040SSP585,robiPse,robiPse-Zone7,7,159210.972768288,159210.972768346,3.61944803818131e-13
mf_var,2011-2040SSP585,saliMat,saliMat-Zone27,27,627103.253056806,627103.253056506,4.77836842532739e-13
mf_var,2011-2040SSP585,saliMat,saliMat-Zone3,3,283092.671954753,283092.671954762,3.35149923287712e-14
mf_var,2011-2040SSP585,saliMat,saliMat-Zone37,37,74487.2798847637,74487.2798847517,1.60977527528548e-13
mf_var,2041-2070SSP245,chamFor,chamFor-Zone10,10,152765.772015656,152765.772015657,6.28692142487113e-15
mf_var,2041-2070SSP245,chamFor,chamFor-Zone21,21,928888.390099548,928888.390098114,1.54340898603251e-12
mf_var,2041-2070SSP245,chamFor,chamFor-Zone26,26,13817.9201640729,13817.9201640728,9.74135139471806e-15
mf_var,2041-2070SSP245,chamFor,chamFor-Zone30,30,161423.023683792,161423.023683891,6.1408617106413e-13
mf_var,2041-2070SSP245,chamFor,chamFor-Zone34,34,12010.0316881222,12010.0316881216,5.22522638174214e-14
mf_var,2041-2070SSP245,chamFor,chamFor-Zone49,49,135727.053176907,135727.05317692,9.39199477309291e-14
mf_var,2041-2070SSP245,chamFor,chamFor-Zone53,53,187703.813036591,187703.813036651,3.19872043411915e-13
mf_var,2041-2070SSP245,cyclLon,cyclLon-Zone10,10,152765.772015656,152765.772015657,6.28692142487113e-15
mf_var,2041-2070SSP245,cyclLon,cyclLon-Zone21,21,928888.390099548,928888.390098114,1.54340898603251e-12
mf_var,2041-2070SSP245,cyclLon,cyclLon-Zone26,26,13817.9201640729,13817.9201640728,9.74135139471806e-15
mf_var,2041-2070SSP245,cyclLon,cyclLon-Zone34,34,12010.0316881222,12010.0316881216,5.22522638174214e-14
mf_var,2041-2070SSP245,cyclLon,cyclLon-Zone49,49,135727.053176907,135727.05317692,9.39199477309291e-14
mf_var,2041-2070SSP245,cyclLon,cyclLon-Zone53,53,187703.813036591,187703.813036651,3.19872043411915e-13
mf_var,2041-2070SSP245,lariGme,lariGme-Zone12,12,281448.525281329,281448.525281404,2.65963560689742e-13
mf_var,2041-2070SSP245,lariGme,lariGme-Zone2,2,22371.1264894172,22371.1264894174,1.04076405702685e-14
mf_var,2041-2070SSP245,lariGme,lariGme-Zone3,3,265453.674592307,265453.674592306,2.41203769746836e-15
mf_var,2041-2070SSP245,lariGme,lariGme-Zone4,4,4657.75815216243,4657.75815216243,1.95264475325041e-16
