Species,PopulationID,source_zone,zone_name,reference_abundance,method,scenario,dual_threshold,rank_min_suitability,suitable_area_km2,suitability_weighted_area_km2,mean_dual_suitability,max_dual_suitability,population_niche_definition,source_dual_raster,population_stack_file,layer,layer_name,COLOR,period,ssp,method_label
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,rf_var,2011-2040SSP245,0.4,0,150825.928441719,167670.861314277,0.0169704789803343,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP245/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2011-2040,SSP245,Plain RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,rf_var,2011-2040SSP585,0.4,0,150874.244438921,168152.39973668,0.0170526738636384,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2011-2040SSP585/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2011-2040,SSP585,Plain RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,rf_var,2041-2070SSP245,0.4,0,145639.127418426,172550.818156047,0.0177931605963626,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2041-2070SSP245/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2041-2070,SSP245,Plain RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,rf_var,2041-2070SSP585,0.4,0,142256.334538086,174456.093256072,0.0181674773860306,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2041-2070SSP585/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2041-2070,SSP585,Plain RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,rf_var,2071-2100SSP245,0.4,0,144878.735903613,177266.712314341,0.0184972216647831,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2071-2100SSP245/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2071-2100,SSP245,Plain RF
chamFor,chamFor-Zone34,34,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,rf_var,2071-2100SSP585,0.4,0,141305.169013205,181717.220003242,0.0194128470675657,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/rf_var/2071-2100SSP585/dual_suitability_zone34.tif,,5,pop_zone34,#2A9D8F,2071-2100,SSP585,Plain RF
chamFor,chamFor-Zone49,49,Broadleaf evergreen forests in subtropical zone,45,mf_var,2011-2040SSP245,0.4,0,892184.774801283,816016.281860835,0.0789973336701914,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP245/dual_suitability_zone49.tif,,6,pop_zone49,#006400,2011-2040,SSP245,Plain MF RF
chamFor,chamFor-Zone49,49,Broadleaf evergreen forests in subtropical zone,45,mf_var,2011-2040SSP585,0.4,0,889791.92676693,811565.026888057,0.0785858428012938,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2011-2040SSP585/dual_suitability_zone49.tif,,6,pop_zone49,#006400,2011-2040,SSP585,Plain MF RF
chamFor,chamFor-Zone49,49,Broadleaf evergreen forests in subtropical zone,45,mf_var,2041-2070SSP245,0.4,0,783273.701665194,760841.383292312,0.0737903638168879,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP245/dual_suitability_zone49.tif,,6,pop_zone49,#006400,2041-2070,SSP245,Plain MF RF
chamFor,chamFor-Zone49,49,Broadleaf evergreen forests in subtropical zone,45,mf_var,2041-2070SSP585,0.4,0,700946.922044315,723815.765630386,0.070288509723121,1,source-zone dual suitability raster,H:/Jing/ecoChina2/dual suit/mf_var/2041-2070SSP585/dual_suitability_zone49.tif,,6,pop_zone49,#006400,2041-2070,SSP585,Plain MF RF
