Species,PopulationID,source_zone,method,ssp,zone_name,reference_abundance,start_period,start_suitable_area_km2,start_weighted_area_km2,start_mean_dual_suitability,start_max_dual_suitability,end_period,end_suitable_area_km2,end_weighted_area_km2,end_mean_dual_suitability,end_max_dual_suitability,suitable_area_change_km2,suitable_area_percent_change,weighted_area_change_km2,mean_dual_suitability_change,within_species_gain_rank,within_species_loss_rank,within_species_absolute_change_rank
lariGme,lariGme-Zone7,7,rf_var,SSP245,Deciduous scrubs in temperate zone,47,2011-2040,915449.876126181,937998.821926289,0.106327823450021,0.997853755950928,2071-2100,674969.461701602,861728.674019583,0.098343549799356,0.983543455600739,-240480.414424579,-26.2690968338099,-76270.147906706,-0.00798427365066499,,2,2
lariGme,lariGme-Zone4,4,rf_var,SSP245,"Grass, Carex and forb swamp meadows",439,2011-2040,284408.032410651,371896.307371602,0.0467962942372568,0.999957859516144,2071-2100,81825.7107854291,270384.664956394,0.0339988930575017,0.989538133144379,-202582.321625222,-71.2294656054993,-101511.642415208,-0.0127974011797551,,3,3
lariGme,lariGme-Zone2,2,rf_var,SSP245,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,53291,2011-2040,445788.363112459,407554.448234486,0.0506741979226402,0.998979210853577,2071-2100,258930.434130628,324580.564832491,0.0399991908008664,0.990415990352631,-186857.928981831,-41.916286840061,-82973.883401995,-0.0106750071217738,,4,4
lariGme,lariGme-Zone3,3,rf_var,SSP245,Broadleaf deciduous forests in temperate zone,354,2011-2040,991722.749347063,861560.655124556,0.100902788265769,0.999992907047272,2071-2100,811948.561559728,759729.980661084,0.0891995072155314,0.996340930461884,-179774.187787335,-18.1274643448177,-101830.674463472,-0.0117032810502376,,5,5
lariGme,lariGme-Zone6,6,rf_var,SSP245,Cold-temperate and temperate marshes,446,2011-2040,189603.426427187,285736.372414113,0.0363448597316715,0.991063237190247,2071-2100,18572.9021704573,230931.59757307,0.0288594907996159,0.638346314430237,-171030.52425673,-90.2043425477916,-54804.774841043,-0.0074853689320556,,6,6
lariGme,lariGme-Zone9,9,rf_var,SSP245,Needleleaf and deciduous broadleaf mixed forests in temperate zone,10,2011-2040,61094.995885477,101837.981501957,0.012898076793485,0.999935507774353,2071-2100,13078.2208190341,87193.8451331985,0.0113991979687007,0.988303601741791,-48016.7750664429,-78.5936300846156,-14644.1363687585,-0.0014988788247843,,7,7
lariGme,lariGme-Zone12,12,rf_var,SSP245,One year one ripe grain fields and cold-tolerant economic crop fields,27,2011-2040,681856.379951879,579043.923716203,0.069902941660957,0.992185473442078,2071-2100,640682.675030394,530369.633461102,0.0646029007431166,0.953819572925568,-41173.704921485,-6.03847175623565,-48674.2902551009,-0.00530004091784039,,8,8
lariGme,lariGme-Zone7,7,rf_var,SSP585,Deciduous scrubs in temperate zone,47,2011-2040,908772.259378617,937973.053041428,0.106325024393075,0.998431622982025,2071-2100,408782.274633449,757323.165010512,0.0868908826622547,0.956230461597443,-499989.984745168,-55.0181830029717,-180649.888030916,-0.0194341417308203,,1,1
lariGme,lariGme-Zone5,5,rf_var,SSP585,Grass and forb meadows,313,2011-2040,703366.006911963,691811.837051129,0.0834327383069219,1,2071-2100,221566.186078462,571284.678679562,0.0677767780332973,0.98980325460434,-481799.820833501,-68.4991620434972,-120527.158371567,-0.0156559602736246,,2,2
lariGme,lariGme-Zone3,3,rf_var,SSP585,Broadleaf deciduous forests in temperate zone,354,2011-2040,981961.397039727,854822.923468484,0.100129128272168,0.999916553497314,2071-2100,593181.705103553,665629.026332713,0.0775587035246543,0.995232582092285,-388779.691936174,-39.5921563829505,-189193.897135771,-0.0225704247475137,,3,3
