method,method_label,niche,zone,probability_threshold,sampling,n_test,presence,absence,n_variables,variables,TP,TN,FP,FN,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tss,auc
rf_var,Plain RF,soil,35,0.5,all presence + equal modeled-zone absence,4034,2017,2017,9,"T_ECE,T_REF_BULK_DENSITY,T_CEC_CLAY,T_CACO3,T_CASO4,T_SAND,T_SILT,T_OC,T_TEB",1918,1790,227,99,0.919186911254338,0.919186911254338,0.950917203767972,0.887456618740704,0.894172494172494,0.921672272945699,0.838373822508676,0.93005020046511
rf_var,Plain RF,soil,36,0.5,all presence + equal modeled-zone absence,3574,1787,1787,9,"T_SAND,T_REF_BULK_DENSITY,T_BS,T_GRAVEL,T_OC,T_PH_H2O,T_CEC_CLAY,T_SILT,T_TEB",1698,1221,566,89,0.816731952993844,0.816731952993844,0.950195858981533,0.683268047006156,0.75,0.838311528017773,0.633463905987689,0.847036155232922
rf_var,Plain RF,soil,37,0.5,all presence + equal modeled-zone absence,5402,2701,2701,9,"T_BS,T_PH_H2O,T_CLAY,T_CEC_SOIL,T_TEB,T_SILT,T_GRAVEL,T_CEC_CLAY,T_OC",2316,2376,325,385,0.868567197334321,0.868567197334321,0.857460199925953,0.879674194742688,0.876940552820901,0.867090977162112,0.737134394668641,0.881127987344356
rf_var,Plain RF,soil,38,0.5,all presence + equal modeled-zone absence,3956,1978,1978,9,"T_ECE,T_CEC_SOIL,T_CLAY,T_REF_BULK_DENSITY,T_SILT,T_GRAVEL,T_OC,T_CACO3,T_SAND",1866,1886,92,112,0.948432760364004,0.948432760364004,0.943377148634985,0.953488372093023,0.953013278855975,0.948170731707317,0.896865520728008,0.953016421281212
rf_var,Plain RF,soil,39,0.5,all presence + equal modeled-zone absence,3562,1781,1781,9,"T_CLAY,T_PH_H2O,T_SAND,T_CEC_CLAY,T_REF_BULK_DENSITY,T_OC,T_CEC_SOIL,T_ESP,T_GRAVEL",1628,1347,434,153,0.835204941044357,0.835204941044357,0.914093206064009,0.756316676024705,0.789524733268671,0.847254748894093,0.670409882088714,0.848400878825433
rf_var,Plain RF,soil,40,0.5,all presence + equal modeled-zone absence,5680,2840,2840,9,"T_SAND,T_CLAY,T_REF_BULK_DENSITY,T_GRAVEL,T_BS,T_TEB,T_CEC_CLAY,T_OC,T_SILT",2488,2248,592,352,0.833802816901408,0.833802816901408,0.876056338028169,0.791549295774648,0.807792207792208,0.840540540540541,0.667605633802817,0.84724211465979
rf_var,Plain RF,soil,41,0.5,all presence + equal modeled-zone absence,4978,2489,2489,9,"T_SAND,T_SILT,T_REF_BULK_DENSITY,T_CEC_SOIL,T_CLAY,T_CEC_CLAY,T_PH_H2O,T_OC,T_TEB",2071,2170,319,418,0.851948573724387,0.851948573724387,0.83206106870229,0.871836078746485,0.86652719665272,0.848944455831113,0.703897147448775,0.870552810832912
rf_var,Plain RF,soil,42,0.5,all presence + equal modeled-zone absence,5468,2734,2734,9,"T_REF_BULK_DENSITY,T_TEB,T_PH_H2O,T_SILT,T_OC,T_CLAY,T_ESP,T_GRAVEL,T_CEC_CLAY",2601,2333,401,133,0.902340892465252,0.902340892465252,0.951353328456474,0.853328456474031,0.866422385076616,0.906903765690376,0.804681784930505,0.914468913767888
rf_var,Plain RF,soil,43,0.5,all presence + equal modeled-zone absence,2006,1003,1003,9,"T_BS,T_SAND,T_GRAVEL,T_CEC_CLAY,T_REF_BULK_DENSITY,T_TEB,T_CLAY,T_CEC_SOIL,T_OC",927,881,122,76,0.901296111665005,0.901296111665005,0.924227318045862,0.878364905284148,0.883698760724499,0.903508771929825,0.80259222333001,0.927231764328152
rf_var,Plain RF,soil,44,0.5,all presence + equal modeled-zone absence,5648,2824,2824,9,"T_TEB,T_GRAVEL,T_BS,T_ESP,T_CLAY,T_OC,T_SILT,T_REF_BULK_DENSITY,T_CEC_CLAY",2470,2216,608,354,0.829674220963173,0.829674220963173,0.874645892351275,0.784702549575071,0.802469135802469,0.837004405286344,0.659348441926346,0.839900646722949
rf_var,Plain RF,soil,45,0.5,all presence + equal modeled-zone absence,3236,1618,1618,9,"T_CEC_CLAY,T_GRAVEL,T_SILT,T_BS,T_REF_BULK_DENSITY,T_PH_H2O,T_OC,T_CEC_SOIL,T_CLAY",1363,1348,270,255,0.837762669962917,0.837762669962917,0.842398022249691,0.833127317676143,0.834660134721372,0.838511227314672,0.675525339925834,0.845910920255897
rf_var,Plain RF,soil,46,0.5,all presence + equal modeled-zone absence,5234,2617,2617,9,"T_SAND,T_CEC_CLAY,T_BS,T_CLAY,T_REF_BULK_DENSITY,T_SILT,T_TEB,T_PH_H2O,T_CEC_SOIL",2367,1823,794,250,0.800534963698892,0.800534963698892,0.904470768055025,0.696599159342759,0.748813666561215,0.819314641744548,0.601069927397784,0.818375823460519
rf_var,Plain RF,soil,47,0.5,all presence + equal modeled-zone absence,5506,2753,2753,9,"T_PH_H2O,T_TEB,T_SILT,T_BS,T_SAND,T_CLAY,T_OC,T_REF_BULK_DENSITY,T_CEC_CLAY",2350,2162,591,403,0.819469669451508,0.819469669451508,0.853614239011987,0.785325099891028,0.799047942876573,0.825430277485072,0.638939338903015,0.851421933923023
rf_var,Plain RF,soil,48,0.5,all presence + equal modeled-zone absence,908,454,454,9,"T_CEC_SOIL,T_BS,T_GRAVEL,T_SILT,T_TEB,T_OC,T_PH_H2O,T_CEC_CLAY,T_SAND",422,394,60,32,0.898678414096916,0.898678414096916,0.929515418502203,0.86784140969163,0.87551867219917,0.901709401709402,0.797356828193833,0.918909740146325
rf_var,Plain RF,soil,49,0.5,all presence + equal modeled-zone absence,5426,2713,2713,9,"T_CLAY,T_REF_BULK_DENSITY,T_SAND,T_ESP,T_TEB,T_CEC_CLAY,T_BS,T_SILT,T_PH_H2O",2543,2023,690,170,0.841503870254331,0.841503870254331,0.937338739402875,0.745669001105787,0.786575935663471,0.855364951227716,0.683007740508662,0.866280209592753
rf_var,Plain RF,soil,50,0.5,all presence + equal modeled-zone absence,1252,626,626,9,"T_CEC_CLAY,T_TEB,T_CLAY,T_GRAVEL,T_CEC_SOIL,T_REF_BULK_DENSITY,T_OC,T_SAND,T_SILT",581,517,109,45,0.876996805111821,0.876996805111821,0.928115015974441,0.825878594249201,0.842028985507246,0.882978723404255,0.753993610223642,0.909220008369995
rf_var,Plain RF,soil,52,0.5,all presence + equal modeled-zone absence,3590,1795,1795,9,"T_CEC_SOIL,T_TEB,T_SAND,T_PH_H2O,T_REF_BULK_DENSITY,T_CLAY,T_BS,T_SILT,T_CEC_CLAY",1729,1625,170,66,0.934261838440112,0.934261838440111,0.963231197771588,0.905292479108635,0.910479199578726,0.936112615051435,0.868523676880223,0.952806852833234
rf_var,Plain RF,soil,53,0.5,all presence + equal modeled-zone absence,4752,2376,2376,9,"T_BS,T_CEC_SOIL,T_REF_BULK_DENSITY,T_OC,T_PH_H2O,T_CLAY,T_CEC_CLAY,T_SILT,T_TEB",2246,2193,183,130,0.934132996632997,0.934132996632997,0.945286195286195,0.922979797979798,0.924660354055167,0.934859521331946,0.868265993265993,0.939034884478908
rf_var,Plain RF,soil,54,0.5,all presence + equal modeled-zone absence,2650,1325,1325,9,"T_PH_H2O,T_SAND,T_OC,T_CASO4,T_CLAY,T_REF_BULK_DENSITY,T_CEC_SOIL,T_CEC_CLAY,T_GRAVEL",1258,1235,90,67,0.940754716981132,0.940754716981132,0.949433962264151,0.932075471698113,0.933234421364985,0.941264496820052,0.881509433962264,0.959849341402634
rf_var,Plain RF,soil,55,0.5,all presence + equal modeled-zone absence,2198,1099,1099,9,"T_CLAY,T_ESP,T_SAND,T_BS,T_PH_H2O,T_TEB,T_CEC_CLAY,T_SILT,T_GRAVEL",1034,996,103,65,0.923566878980892,0.923566878980892,0.940855323020928,0.906278434940855,0.909410729991205,0.924865831842576,0.847133757961784,0.954330224929438
