method,zone,original_pixels,predicted_pixels,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss
mf_var,28,46042,104603,22858,12266039,81745,23184,0.991533768506997,0.744919768955437,0.496459754137527,0.993379783773347,0.21852145731958,0.30346841913107,0.489839537910874
mf_var,29,164338,202350,130033,12157171,72317,34305,0.991397168235217,0.892670031128772,0.791253392398593,0.994086669858951,0.642614282184334,0.709229644820665,0.785340062257544
mf_var,30,576557,459724,247803,11605348,211921,328754,0.956375456618481,0.705932379527308,0.42979792110754,0.982066837947076,0.539025589266604,0.478254450289063,0.411864759054616
mf_var,31,841378,735823,593100,11409725,142723,248278,0.968451953416161,0.846280340514213,0.704915032244722,0.987645648783704,0.806036234257423,0.752091838643267,0.692560681028426
mf_var,32,60484,111511,40391,12262222,71120,20093,0.992640448558823,0.831014979799947,0.667796442034257,0.994233517565636,0.362215386822825,0.469676444082677,0.662029959599893
mf_var,33,389751,393691,258563,11868947,135128,131188,0.978512204383053,0.826074383109273,0.663405610248595,0.988743155969952,0.656766347211392,0.660069284005708,0.652148766218546
mf_var,34,5159,23267,4001,12369401,19266,1158,0.998352082722478,0.886991381974491,0.77553789494088,0.998444869008102,0.171960287101904,0.281502849503975,0.773982763948983
mf_var,35,32864,73199,27979,12315742,45220,4885,0.995957261300909,0.92384940838055,0.851357108081792,0.996341708679308,0.382231997704887,0.527592091492792,0.8476988167611
mf_var,36,22575,135491,16459,12252219,119032,6116,0.989902391723105,0.859729589643242,0.729080841638981,0.990378337647502,0.121476703249662,0.208254779649007,0.719459179286484
mf_var,37,191906,196155,140492,12146257,55663,51414,0.991360456407892,0.863762880744623,0.732087584546601,0.995438176942645,0.716229512375417,0.724071730990746,0.727525761489246
mf_var,38,30032,54345,27842,12337291,26503,2190,0.997684895689192,0.96246709301413,0.92707778369739,0.99785640233087,0.512319440610912,0.659942875428138,0.92493418602826
mf_var,39,21943,70914,13718,12314687,57196,8225,0.994721484713437,0.810271068652938,0.625165200747391,0.995376936558485,0.19344558197253,0.295465069946262,0.620542137305876
mf_var,40,339661,334961,132485,11851689,202476,207176,0.966947091237201,0.686626743222597,0.390050668166201,0.983202818278993,0.395523657978093,0.392768098283187,0.373253486445194
mf_var,41,91243,147178,47935,12203340,99243,43308,0.98849822484195,0.758644263589281,0.525355369726993,0.991933157451569,0.325694057535773,0.402103841524027,0.517288527178562
mf_var,42,155019,258875,120173,12100105,138702,34846,0.985997221519811,0.881940841884114,0.775214651107284,0.988667032660945,0.464212457749879,0.580694573973046,0.763881683768228
mf_var,43,5692,24270,4975,12368839,19295,717,0.998385325080407,0.936238096350883,0.874033731553057,0.998442461148709,0.204985578903997,0.332087310593418,0.872476192701766
