zoneID,method,scenario,period,ssp,normal_assigned_area_km2,future_assigned_area_km2,area_change_km2,percent_change,change_direction,rank_gain,rank_loss,rank_absolute_change,zone_name,baseline_definition
50,mf_var,2041-2070SSP245,2041-2070,SSP245,13098.4512314068,15913.7564972077,2815.3052658009,21.493420985914,gain,18,,51,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
7,mf_var,2041-2070SSP245,2041-2070,SSP245,167184.881658769,164370.193234041,-2814.68842472805,-1.6835783216768,loss,,34,52,Deciduous scrubs in temperate zone,normal-period assigned map on the same common-valid cells
39,mf_var,2041-2070SSP245,2041-2070,SSP245,52943.4709010199,52402.8338958155,-540.637005204364,-1.02115897579724,loss,,35,53,Sclerophyllous broadleaf evergreen forests in subtropical zone,normal-period assigned map on the same common-valid cells
52,mf_var,2041-2070SSP245,2041-2070,SSP245,37584.5641392319,38008.722210844,424.158071612088,1.12854327654511,gain,19,,54,Tropical rain forests,normal-period assigned map on the same common-valid cells
21,mf_var,2071-2100SSP245,2071-2100,SSP245,387821.089449468,1095010.65936863,707189.56991916,182.34943615961,gain,1,,1,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,normal-period assigned map on the same common-valid cells
99,mf_var,2071-2100SSP245,2071-2100,SSP245,0,477493.362249843,477493.362249843,,gain,2,,2,Novel zone,normal-period assigned map on the same common-valid cells
30,mf_var,2071-2100SSP245,2071-2100,SSP245,350328.455343437,114839.361432286,-235489.09391115,-67.2195165192317,loss,,1,3,Needleleaf forests in subtropical zone,normal-period assigned map on the same common-valid cells
20,mf_var,2071-2100SSP245,2071-2100,SSP245,293024.956879129,83550.5497128825,-209474.407166246,-71.4868826864646,loss,,2,4,Alpine sparse vegetation,normal-period assigned map on the same common-valid cells
27,mf_var,2071-2100SSP245,2071-2100,SSP245,485826.009657942,689885.434155052,204059.42449711,42.0025730283117,gain,3,,5,Two years three ripes or one year two ripes grain fields and deciduous orchards,normal-period assigned map on the same common-valid cells
47,mf_var,2071-2100SSP245,2071-2100,SSP245,264618.071817955,90406.8481373831,-174211.223680571,-65.8349682936323,loss,,3,6,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations,normal-period assigned map on the same common-valid cells
53,mf_var,2071-2100SSP245,2071-2100,SSP245,76787.4420151264,223890.393859896,147102.95184477,191.571626797767,gain,4,,7,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,normal-period assigned map on the same common-valid cells
13,mf_var,2071-2100SSP245,2071-2100,SSP245,344890.410320994,199435.587960749,-145454.822360245,-42.1742147671977,loss,,4,8,Temperate tufted grass steppes,normal-period assigned map on the same common-valid cells
42,mf_var,2071-2100SSP245,2071-2100,SSP245,179063.794590037,34972.7188865395,-144091.075703498,-80.4691289120681,loss,,5,9,Cushion nano-semi-shrub high-cold deserts,normal-period assigned map on the same common-valid cells
2,mf_var,2071-2100SSP245,2071-2100,SSP245,143114.077019816,23385.8038996028,-119728.273120213,-83.6593266109212,loss,,6,10,Needleleaf forests in cold-temperate zone and on mountains in temperate zone,normal-period assigned map on the same common-valid cells
18,mf_var,2071-2100SSP245,2071-2100,SSP245,115838.608673571,235058.73689689,119220.128223319,102.919164506954,gain,5,,11,Subalpine broadleaf deciduous scrubs,normal-period assigned map on the same common-valid cells
16,mf_var,2071-2100SSP245,2071-2100,SSP245,502190.587346848,392874.753238619,-109315.834108229,-21.7677982946199,loss,,7,12,Kobresia spp. and forb high-cold meadows,normal-period assigned map on the same common-valid cells
37,mf_var,2071-2100SSP245,2071-2100,SSP245,137754.539140924,33416.1445442242,-104338.3945967,-75.7422552079832,loss,,8,13,Needleleaf forests in temperate zone,normal-period assigned map on the same common-valid cells
15,mf_var,2071-2100SSP245,2071-2100,SSP245,162518.920774716,261809.367166052,99290.4463913356,61.0946995697641,gain,6,,14,Grass and forb halophytic meadows,normal-period assigned map on the same common-valid cells
12,mf_var,2071-2100SSP245,2071-2100,SSP245,212435.092758766,305603.126470478,93168.0337117119,43.8571765624009,gain,7,,15,One year one ripe grain fields and cold-tolerant economic crop fields,normal-period assigned map on the same common-valid cells
46,mf_var,2071-2100SSP245,2071-2100,SSP245,130331.838517488,222537.190548234,92205.3520307453,70.7466058022139,gain,8,,16,Subalpine sclerophyllous broadleaf evergreen scrubs,normal-period assigned map on the same common-valid cells
26,mf_var,2071-2100SSP245,2071-2100,SSP245,82250.9422070026,5691.49655534795,-76559.4456516546,-93.0803266167772,loss,,9,17,Bamboo forests and scrubs in subtropical and tropical zones,normal-period assigned map on the same common-valid cells
29,mf_var,2071-2100SSP245,2071-2100,SSP245,125597.185184873,52786.5616199092,-72810.6235649634,-57.9715408890652,loss,,10,18,Dwarf semi-arboreous deserts,normal-period assigned map on the same common-valid cells
22,mf_var,2071-2100SSP245,2071-2100,SSP245,68865.4099821478,2970.94479601743,-65894.4651861303,-95.6858678445571,loss,,11,19,Alpine cushion vegetation,normal-period assigned map on the same common-valid cells
11,mf_var,2071-2100SSP245,2071-2100,SSP245,112618.233713769,48901.4586524735,-63716.7750612957,-56.5776721585231,loss,,12,20,Temperate grass and forb meadow steppes,normal-period assigned map on the same common-valid cells
36,mf_var,2071-2100SSP245,2071-2100,SSP245,100690.348914116,38413.5091314161,-62276.8397827003,-61.8498599461793,loss,,13,21,Broadleaf evergreen and deciduous mixed forests in subtropical zone,normal-period assigned map on the same common-valid cells
