method,zone,sensitivity,specificity,precision,balanced_accuracy,f1,tss
rf_var,36,0.7259357696567,0.990322500990751,0.12056914995365,0.858129135323725,0.206792557587841,0.716258270647451
rf_var,37,0.731091559952827,0.995488187087806,0.718221338200012,0.863289873520317,0.724599303856717,0.726579747040633
rf_var,38,0.926842262994905,0.997862493335987,0.513353006270749,0.962352378165446,0.660739931870245,0.924704756330892
rf_var,39,0.621291528049948,0.9954208813413,0.194213345489772,0.808356204695624,0.295922464971402,0.616712409391247
rf_var,40,0.387140983509925,0.983310130224075,0.395387968141401,0.685225556867,0.391221018803806,0.370451113734
rf_var,41,0.522754930874566,0.991919716742724,0.324510657991452,0.757337323808645,0.400440071721613,0.514674647617289
rf_var,42,0.769872721639903,0.988951979903406,0.46909128090577,0.879412350771655,0.582971870670085,0.758824701543309
rf_var,43,0.867357695010541,0.998510101524599,0.211298951423069,0.93293389826757,0.339814846680662,0.86586779653514
rf_var,44,0.344147932541233,0.986103436761966,0.542532016793136,0.6651256846516,0.421146935953492,0.330251369303199
rf_var,45,0.705990108078403,0.996013656965403,0.190086313193588,0.851001882521903,0.299525919017642,0.702003765043806
rf_var,46,0.484542285819116,0.99112145771649,0.377996072976238,0.737831871767803,0.424688547153672,0.475663743535606
rf_var,47,0.57127957262783,0.987251144500284,0.568754027594474,0.779265358564057,0.570014002659518,0.558530717128114
rf_var,48,0.919354838709677,0.999316236995167,0.149064574532287,0.959335537852422,0.256534533494894,0.918671075704844
rf_var,49,0.444639149730481,0.989608749971453,0.355528480048736,0.717123949850967,0.395121909936443,0.434247899701935
rf_var,50,0.868490732568403,0.998819112816675,0.118711545421643,0.933654922692539,0.208872850774782,0.867309845385078
rf_var,52,0.877314021254714,0.997790054622369,0.42859236308826,0.937552037938541,0.575860711071107,0.875104075877082
rf_var,53,0.781906376565885,0.996215137209196,0.516674792278249,0.889060756887541,0.622204178507854,0.778121513775081
rf_var,54,0.944683844868525,0.998920645875025,0.44598521962966,0.971802245371775,0.605917026257156,0.943604490743551
rf_var,55,0.85423197492163,0.998695821616211,0.252548656163114,0.92646389826892,0.389842632331903,0.852927796537841
mf_var,1,0.769611074489123,0.997368508352112,0.264152224082538,0.883489791420617,0.393309527017922,0.766979582841235
mf_var,2,0.643469611622748,0.993619201762132,0.702794118213583,0.81854440669244,0.671824766983248,0.63708881338488
mf_var,3,0.520775372234859,0.985664556440068,0.628989606227507,0.753219964337464,0.569790004828729,0.506439928674927
mf_var,4,0.456206582456294,0.995029877803006,0.405090675216091,0.72561823012965,0.429131826158769,0.4512364602593
mf_var,5,0.387752418324032,0.991701800256381,0.421660765459922,0.689727109290207,0.40399633906405,0.379454218580413
mf_var,6,0.567400881057269,0.995509926815201,0.47980383835526,0.781455403936235,0.519938681655595,0.56291080787247
mf_var,7,0.415866603869285,0.986609458473869,0.360723096019987,0.701238031171577,0.386337055205432,0.402476062343154
mf_var,9,0.829105605572715,0.996064367412337,0.341845720324058,0.912584986492526,0.484095618141355,0.825169972985052
mf_var,10,0.527701715015133,0.993324423624048,0.48504977101548,0.76051306931959,0.505477601490933,0.521026138639181
mf_var,11,0.607395804957777,0.991985593106674,0.476477941726411,0.799690699032226,0.53403028506763,0.599381398064452
mf_var,12,0.626550632826733,0.990911811245528,0.682279391843667,0.808731222036131,0.653228573102058,0.617462444072261
mf_var,13,0.613005974275851,0.985999122988712,0.697289264649355,0.799502548632282,0.65243690479878,0.599005097264563
mf_var,14,0.804898209092301,0.994830352979402,0.291828534641597,0.899864281035851,0.428351485430803,0.799728562071703
mf_var,15,0.576094002541077,0.990185558303018,0.527984062293303,0.783139780422047,0.550990842789859,0.566279560844095
mf_var,16,0.594463291722934,0.985702870591766,0.76764017863472,0.79008308115735,0.670042940761549,0.5801661623147
mf_var,17,0.953473550031867,0.999329413482903,0.152762177065251,0.976401481757385,0.263333920084492,0.95280296351477
mf_var,18,0.422177369380854,0.99052348035185,0.290996735515758,0.706350424866352,0.344522425744184,0.412700849732704
mf_var,19,0.771319705025861,0.995718622502908,0.914108912591087,0.883519163764384,0.836665770892364,0.767038327528769
mf_var,20,0.594892949481451,0.984261567114192,0.544034430541165,0.789577258297822,0.568328152753108,0.579154516595644
mf_var,21,0.638203498306354,0.988599550177553,0.739805223121275,0.813401524241954,0.68525877103617,0.626803048483907
mf_var,22,0.730870083432658,0.994385669583381,0.306913051312339,0.862627876508019,0.432293722858271,0.725255753016039
mf_var,23,0.57668482585542,0.98853969012864,0.577117566884638,0.78261225799203,0.576901115218872,0.56522451598406
mf_var,24,0.638799350590953,0.986697566640102,0.778755368212106,0.812748458615528,0.701868389113274,0.625496917231055
