Species,method,scenario,area_metric,area_value,period,ssp,method_label,area_metric_label
saliMat,rf_var,2071-2100SSP245,suitable_area_km2,1772613.33838705,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
saliMat,rf_var,2071-2100SSP585,suitable_area_km2,1597302.63926742,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
chamFor,mf_var,2011-2040SSP245,suitability_weighted_area_km2,2102663.57921769,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
chamFor,mf_var,2011-2040SSP585,suitability_weighted_area_km2,2090905.76665587,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
chamFor,mf_var,2041-2070SSP245,suitability_weighted_area_km2,2085379.30040621,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
chamFor,mf_var,2041-2070SSP585,suitability_weighted_area_km2,2087588.25418609,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
chamFor,mf_var,2071-2100SSP245,suitability_weighted_area_km2,2087434.85113433,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
chamFor,mf_var,2071-2100SSP585,suitability_weighted_area_km2,2040384.70677761,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
chamFor,rf_var,2011-2040SSP245,suitability_weighted_area_km2,2104044.85803298,2011-2040,SSP245,Plain RF,Suitability-weighted area
chamFor,rf_var,2011-2040SSP585,suitability_weighted_area_km2,2093105.77832173,2011-2040,SSP585,Plain RF,Suitability-weighted area
chamFor,rf_var,2041-2070SSP245,suitability_weighted_area_km2,2090299.15276902,2041-2070,SSP245,Plain RF,Suitability-weighted area
chamFor,rf_var,2041-2070SSP585,suitability_weighted_area_km2,2089953.97413737,2041-2070,SSP585,Plain RF,Suitability-weighted area
chamFor,rf_var,2071-2100SSP245,suitability_weighted_area_km2,2088890.16179825,2071-2100,SSP245,Plain RF,Suitability-weighted area
chamFor,rf_var,2071-2100SSP585,suitability_weighted_area_km2,2044830.32634648,2071-2100,SSP585,Plain RF,Suitability-weighted area
cyclLon,mf_var,2011-2040SSP245,suitability_weighted_area_km2,1942969.85168484,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
cyclLon,mf_var,2011-2040SSP585,suitability_weighted_area_km2,1937324.43058089,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
cyclLon,mf_var,2041-2070SSP245,suitability_weighted_area_km2,1979508.34362022,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
cyclLon,mf_var,2041-2070SSP585,suitability_weighted_area_km2,2005394.63353014,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
cyclLon,mf_var,2071-2100SSP245,suitability_weighted_area_km2,2008986.64383584,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
cyclLon,mf_var,2071-2100SSP585,suitability_weighted_area_km2,1993073.84392388,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
cyclLon,rf_var,2011-2040SSP245,suitability_weighted_area_km2,1943838.41478888,2011-2040,SSP245,Plain RF,Suitability-weighted area
cyclLon,rf_var,2011-2040SSP585,suitability_weighted_area_km2,1938831.35658741,2011-2040,SSP585,Plain RF,Suitability-weighted area
cyclLon,rf_var,2041-2070SSP245,suitability_weighted_area_km2,1984049.64503189,2041-2070,SSP245,Plain RF,Suitability-weighted area
cyclLon,rf_var,2041-2070SSP585,suitability_weighted_area_km2,2007745.9588587,2041-2070,SSP585,Plain RF,Suitability-weighted area
cyclLon,rf_var,2071-2100SSP245,suitability_weighted_area_km2,2010355.31050026,2071-2100,SSP245,Plain RF,Suitability-weighted area
cyclLon,rf_var,2071-2100SSP585,suitability_weighted_area_km2,1997543.59932919,2071-2100,SSP585,Plain RF,Suitability-weighted area
lariGme,mf_var,2011-2040SSP245,suitability_weighted_area_km2,1727229.91382033,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
lariGme,mf_var,2011-2040SSP585,suitability_weighted_area_km2,1710041.54273587,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
lariGme,mf_var,2041-2070SSP245,suitability_weighted_area_km2,1571418.39703668,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
lariGme,mf_var,2041-2070SSP585,suitability_weighted_area_km2,1481978.34126058,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
lariGme,mf_var,2071-2100SSP245,suitability_weighted_area_km2,1474657.91618629,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
lariGme,mf_var,2071-2100SSP585,suitability_weighted_area_km2,1295687.32693319,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
lariGme,rf_var,2011-2040SSP245,suitability_weighted_area_km2,1731763.90852028,2011-2040,SSP245,Plain RF,Suitability-weighted area
lariGme,rf_var,2011-2040SSP585,suitability_weighted_area_km2,1713996.85916372,2011-2040,SSP585,Plain RF,Suitability-weighted area
lariGme,rf_var,2041-2070SSP245,suitability_weighted_area_km2,1573878.72123965,2041-2070,SSP245,Plain RF,Suitability-weighted area
lariGme,rf_var,2041-2070SSP585,suitability_weighted_area_km2,1480814.47026387,2041-2070,SSP585,Plain RF,Suitability-weighted area
lariGme,rf_var,2071-2100SSP245,suitability_weighted_area_km2,1472342.3196299,2071-2100,SSP245,Plain RF,Suitability-weighted area
lariGme,rf_var,2071-2100SSP585,suitability_weighted_area_km2,1289663.65666487,2071-2100,SSP585,Plain RF,Suitability-weighted area
lariOlg,mf_var,2011-2040SSP245,suitability_weighted_area_km2,1992947.8094458,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
lariOlg,mf_var,2011-2040SSP585,suitability_weighted_area_km2,1969718.23071175,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
lariOlg,mf_var,2041-2070SSP245,suitability_weighted_area_km2,1813592.05802742,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
lariOlg,mf_var,2041-2070SSP585,suitability_weighted_area_km2,1718539.11866969,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
lariOlg,mf_var,2071-2100SSP245,suitability_weighted_area_km2,1713606.04714943,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
lariOlg,mf_var,2071-2100SSP585,suitability_weighted_area_km2,1546187.76006312,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
lariOlg,rf_var,2011-2040SSP245,suitability_weighted_area_km2,2001088.12698969,2011-2040,SSP245,Plain RF,Suitability-weighted area
lariOlg,rf_var,2011-2040SSP585,suitability_weighted_area_km2,1976848.54273727,2011-2040,SSP585,Plain RF,Suitability-weighted area
lariOlg,rf_var,2041-2070SSP245,suitability_weighted_area_km2,1818444.375384,2041-2070,SSP245,Plain RF,Suitability-weighted area
lariOlg,rf_var,2041-2070SSP585,suitability_weighted_area_km2,1720994.35356649,2041-2070,SSP585,Plain RF,Suitability-weighted area
lariOlg,rf_var,2071-2100SSP245,suitability_weighted_area_km2,1715122.5576618,2071-2100,SSP245,Plain RF,Suitability-weighted area
lariOlg,rf_var,2071-2100SSP585,suitability_weighted_area_km2,1551745.24095317,2071-2100,SSP585,Plain RF,Suitability-weighted area
phylPub,mf_var,2011-2040SSP245,suitability_weighted_area_km2,2085072.69189647,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
phylPub,mf_var,2011-2040SSP585,suitability_weighted_area_km2,2073946.03807173,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
phylPub,mf_var,2041-2070SSP245,suitability_weighted_area_km2,1981393.59083234,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
phylPub,mf_var,2041-2070SSP585,suitability_weighted_area_km2,1944406.79771648,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
phylPub,mf_var,2071-2100SSP245,suitability_weighted_area_km2,1938965.34793361,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
phylPub,mf_var,2071-2100SSP585,suitability_weighted_area_km2,1858114.24642139,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
phylPub,rf_var,2011-2040SSP245,suitability_weighted_area_km2,2087792.18652852,2011-2040,SSP245,Plain RF,Suitability-weighted area
phylPub,rf_var,2011-2040SSP585,suitability_weighted_area_km2,2076376.71145453,2011-2040,SSP585,Plain RF,Suitability-weighted area
phylPub,rf_var,2041-2070SSP245,suitability_weighted_area_km2,1981781.22788207,2041-2070,SSP245,Plain RF,Suitability-weighted area
phylPub,rf_var,2041-2070SSP585,suitability_weighted_area_km2,1943568.04954435,2041-2070,SSP585,Plain RF,Suitability-weighted area
phylPub,rf_var,2071-2100SSP245,suitability_weighted_area_km2,1937677.5887472,2071-2100,SSP245,Plain RF,Suitability-weighted area
phylPub,rf_var,2071-2100SSP585,suitability_weighted_area_km2,1855825.269958,2071-2100,SSP585,Plain RF,Suitability-weighted area
pinuSyl,mf_var,2011-2040SSP245,suitability_weighted_area_km2,1743856.22990033,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
pinuSyl,mf_var,2011-2040SSP585,suitability_weighted_area_km2,1723113.27304745,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
pinuSyl,mf_var,2041-2070SSP245,suitability_weighted_area_km2,1599006.78208255,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
pinuSyl,mf_var,2041-2070SSP585,suitability_weighted_area_km2,1525486.13369207,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
pinuSyl,mf_var,2071-2100SSP245,suitability_weighted_area_km2,1517106.47815627,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
pinuSyl,mf_var,2071-2100SSP585,suitability_weighted_area_km2,1369795.12830816,2071-2100,SSP585,Plain MF RF,Suitability-weighted area
pinuSyl,rf_var,2011-2040SSP245,suitability_weighted_area_km2,1750870.92895663,2011-2040,SSP245,Plain RF,Suitability-weighted area
pinuSyl,rf_var,2011-2040SSP585,suitability_weighted_area_km2,1729908.23865314,2011-2040,SSP585,Plain RF,Suitability-weighted area
pinuSyl,rf_var,2041-2070SSP245,suitability_weighted_area_km2,1601495.78115918,2041-2070,SSP245,Plain RF,Suitability-weighted area
pinuSyl,rf_var,2041-2070SSP585,suitability_weighted_area_km2,1527318.17618729,2041-2070,SSP585,Plain RF,Suitability-weighted area
pinuSyl,rf_var,2071-2100SSP245,suitability_weighted_area_km2,1519276.2784994,2071-2100,SSP245,Plain RF,Suitability-weighted area
pinuSyl,rf_var,2071-2100SSP585,suitability_weighted_area_km2,1377185.42290601,2071-2100,SSP585,Plain RF,Suitability-weighted area
pinuYun,mf_var,2011-2040SSP245,suitability_weighted_area_km2,4206461.45875606,2011-2040,SSP245,Plain MF RF,Suitability-weighted area
pinuYun,mf_var,2011-2040SSP585,suitability_weighted_area_km2,4187413.27723213,2011-2040,SSP585,Plain MF RF,Suitability-weighted area
pinuYun,mf_var,2041-2070SSP245,suitability_weighted_area_km2,4105531.43746847,2041-2070,SSP245,Plain MF RF,Suitability-weighted area
pinuYun,mf_var,2041-2070SSP585,suitability_weighted_area_km2,4016245.3139629,2041-2070,SSP585,Plain MF RF,Suitability-weighted area
pinuYun,mf_var,2071-2100SSP245,suitability_weighted_area_km2,3996258.41624059,2071-2100,SSP245,Plain MF RF,Suitability-weighted area
