zone,method,rank_cutoff,true_positive,false_positive,false_negative,f1,multiclass_f1,method_label,rank_label,common_reference_area_km2,common_valid_pixels,zone_name,category_label,zone_color,reference_area_km2
26,rf_var,5,35579,10859,5304,0.814901341029077,0.262761629814317,Plain RF,Top-5,30887.739198993,12374320,Bamboo forests and scrubs in subtropical and tropical zones,forest,#00A878,30951.3022898633
27,rf_var,5,770521,26744,86680,0.931443740759858,0.792258009996692,Plain RF,Top-5,575613.263321673,12374320,Two years three ripes or one year two ripes grain fields and deciduous orchards,cropland,#FFB703,581987.788488805
28,rf_var,5,38461,37952,7581,0.628165448532114,0.311259066689158,Plain RF,Top-5,33890.5942871482,12374320,Broadleaf deciduous forests in subtropical zone,forest,#52B788,34056.2147908729
29,rf_var,5,155127,4517,9090,0.95798506149243,0.702359298289806,Plain RF,Top-5,102064.567599118,12374320,Dwarf semi-arboreous deserts,desert,#7F5539,102358.514043218
30,rf_var,5,518266,21502,57969,0.928789617949056,0.43029748830948,Plain RF,Top-5,437819.744699434,12374320,Needleleaf forests in subtropical zone,forest,#1B9AAA,440947.400872453
31,rf_var,5,794334,26354,46975,0.955878981731014,0.71194192048782,Plain RF,Top-5,597917.48976362,12374320,Grass and Carex spp. high-cold steppes,grassland meadow steppe,#48CAE4,602782.267595032
32,rf_var,5,55596,14169,4886,0.853701044937695,0.445490045171701,Plain RF,Top-5,39610.5639908236,12374320,Succulent halophytic dwarf semi-shrub deserts,desert,#E63946,41176.9538326962
33,rf_var,5,354140,34886,35606,0.909483134986877,0.674650666365181,Plain RF,Top-5,263481.759567336,12374320,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards,cropland,#FDB833,264431.973201361
34,rf_var,5,4815,7774,302,0.543883429345985,0.254831563669697,Plain RF,Top-5,3869.70482527417,12374320,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",forest,#2A9D8F,3904.5141748997
35,rf_var,5,31259,3521,1605,0.924220921293832,0.393257652213704,Plain RF,Top-5,21638.1070863135,12374320,Steppe shrub deserts,desert,#D62828,21673.0911747923
36,rf_var,5,21597,53902,978,0.440422538083488,0.196178100323608,Plain RF,Top-5,16787.246396107,12374320,Broadleaf evergreen and deciduous mixed forests in subtropical zone,forest,#40916C,16932.3871491317
37,rf_var,5,167840,7241,23794,0.915370246649305,0.73621139888669,Plain RF,Top-5,134142.804615336,12374320,Needleleaf forests in temperate zone,forest,#0B3D2E,135761.296395213
38,rf_var,5,28730,1852,1301,0.947981456123274,0.546616076291763,Plain RF,Top-5,19639.1015916532,12374320,Annual herb deserts,desert,#F4A261,19641.7789199388
